2025-02-27 18:47:06,082 - INFO - Detected 12 anomalies:
2025-02-27 23:20:10,811 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.417769472, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1292
2025-02-27 23:20:10,812 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.418769920, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1292
2025-02-27 23:20:10,813 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.420437760, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1292
2025-02-27 23:20:10,814 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.422577920, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1292
2025-02-27 23:20:10,815 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.423741184, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1292
2025-02-27 23:20:10,816 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.424835584, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1292
2025-02-27 23:20:10,818 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.426961920, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1292
2025-02-27 23:20:10,819 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.428116480, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1292
2025-02-27 23:20:10,820 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.429228800, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1198
2025-02-27 23:20:10,822 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.475273984, Src IP: 34.120.195.249, Dst IP: 192.168.1.73, Length: 502
2025-02-27 23:20:10,822 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.541601024, Src IP: 192.168.1.73, Dst IP: 239.255.255.250, Length: 217
